model,method,faithfulness_corr,max_sens,mprt
densenet121,gradcam++,-0.2692128270864486,0.9684808552265168,
densenet121,gradcam,-0.0235620912164449,0.9697250187397004,
densenet121,ig,-0.1646119605749845,0.973117607831955,
densenet169,gradcam++,0.2051389180123806,0.9372832655906678,
densenet169,gradcam,0.2556290946900844,0.946937483549118,
densenet169,ig,0.1871606390923261,0.9465397894382476,
efficientnet_b0,gradcam++,0.0127101145684719,0.8918935596942902,
efficientnet_b0,gradcam,0.0022387951612472,0.892818945646286,
efficientnet_b0,ig,0.0696568183600902,0.9068751990795136,
efficientnet_b1,gradcam++,-0.0909901172388345,0.9105764389038086,
efficientnet_b1,gradcam,0.0343431010842323,0.9114323675632476,
efficientnet_b1,ig,0.1934845119714737,0.921640032529831,
mobilenet_v2,gradcam++,0.2342365644872188,0.9179618179798126,
mobilenet_v2,gradcam,0.1013356201350688,0.9100524127483368,
mobilenet_v2,ig,-0.0583357412368059,0.9239340782165528,
resnet18,gradcam++,0.0953434690833091,0.9475053668022156,0.0562174872161433
resnet18,gradcam,-0.0808646701276302,0.950451534986496,0.0456028807677598
resnet18,ig,0.0886759713292121,0.95507652759552,-0.0398403160072945
resnet34,gradcam++,0.0344013452529907,0.9731810927391052,-0.052546423696396
resnet34,gradcam,-0.091378628462553,0.9753312766551973,-0.0255674388177024
resnet34,ig,-0.167936386168003,0.9794954121112824,-0.0674862568447852
resnet50,gradcam++,0.001148685067892,0.9428040385246276,-0.0251914497575107
resnet50,gradcam,-0.0444265142083168,0.9471196711063384,-0.0251504362411292
resnet50,ig,0.0396234214305877,0.9595053791999816,-0.0208463204133645
vgg16_bn,gradcam++,-0.1234160475432872,0.9430315911769866,
vgg16_bn,gradcam,0.0549122724682092,0.9344556987285614,
vgg16_bn,ig,-0.0615494512021541,0.9431935727596285,
